Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
Warung Makanan Suartono,Soto. Bakso. Kremis,727,108,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,525,6,TIDAK LAYAK
Rm Angga Len,Makanan,936,108,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,160,915,10,TIDAK LAYAK
Warung Makan Bunda,Barang Konsumsi,32,108,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,8,6,TIDAK LAYAK
Warung Bunda,Makanan,38,90,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,10,6,TIDAK LAYAK
Warung Makan Dan Kelontong Ibu Izah,Makanan,33,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,156,7,TIDAK LAYAK
Warung Ismail Dan Mie Pangsit Pesawaran,Makanan Dan Barang Konsumsi,64,324,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,170,5,LAYAK
Kelanting Bu Elmiyati,Kelanting,57,180,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,10,160,6,TIDAK LAYAK
Warung Makan Mbak Wiji,Makanan Jadi,8,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,10,5,TIDAK LAYAK
Bakso Barokah,Bakso,30,216,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,158,8,TIDAK LAYAK
Rumah Makan Sedayu,Makanan,244,126,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,24,120,6,TIDAK LAYAK
Rumah Makan Berkarya,Makanan,594,300,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,33,250,6,LAYAK
Kedai Kopi Sahabat,Minuman Kopi Dan Makanan,421,135,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,135,7,TIDAK LAYAK
Kedai Kopi Satu Kata,Minuman Kopi,422,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,250,6,TIDAK LAYAK
Kedai Kopi Sita,Minuman Kopi,499,121,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,35,200,7,TIDAK LAYAK
Bakso Koto,Makanan Bakso,325,99,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,155,7,TIDAK LAYAK
Rumah Makan Pagi Pecel,Makanan,247,123,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,120,5,TIDAK LAYAK
Rumah Makan Apela,Makanan,325,102,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,120,5,TIDAK LAYAK
Rumah Makan Santai,Makanan,407,120,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,200,7,TIDAK LAYAK
Rm Segar,Makanan Jadi,167,480,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,155,8,LAYAK
Wisma Milenium,Jasa Penginapan,382,576,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,180,377,9,LAYAK
Warung Murni,Masakan Jadi,199,360,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,185,8,LAYAK
Kedai Acin,Makanan Jadi,202,384,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,36,270,8,LAYAK
Rm Wong Solo,Masakan Jadi,225,540,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,210,8,LAYAK
Rumah Makan Tepi Laut,Makan Dan Minum,149,336,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,38,135,8,LAYAK
Soto Lamongan Cak Dun,Soto Dan Ayam Bakar Lamongan,249,623,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,230,8,LAYAK
Bakso Arema,Bakso,91,162,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,80,7,TIDAK LAYAK
Mie Ayam Dan Bakso Rejeki,Mie Ayam Dan Bakso,84,173,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,77,8,TIDAK LAYAK
Warung Bakso Nikmat,Bakso Dan Mie Ayam,120,163,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,110,8,TIDAK LAYAK
Warung Sopo Ngiro,Masakan Nusantara,145,252,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,29,125,6,TIDAK LAYAK
Empek-Empek 78 Palembang,Empek-Empek,1200,2160,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 60 %,0,300,1000,8,LAYAK
Kedai Kopi Uniang,Makanan (Nasi Goreng. Soto),175,360,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,36,100,8,LAYAK
Kedai Kopi Wella,Minuman Seduh,1113,144,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,1008,9,TIDAK LAYAK
Warung Pecel Lele Bapak Syaiful,Pecel Lele,145,360,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,70,7,LAYAK
D'pohon Cafe,Katsu Ayam. Nasi Goreng,20,180,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,480,12,TIDAK LAYAK
Kedai Kopi Heneken,Minuman,332,72,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,16,315,10,TIDAK LAYAK
Bubur Ayam Bandung,Bubur Ayam,468,216,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,108,9,TIDAK LAYAK
Rumah Makan Putra Minang,Makanan Siap Saji,124,1440,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,350,1008,6,LAYAK
Rm Simpang Pemuda,Nasi Ramas,1128,360,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,1008,7,LAYAK
Warung Lamongan,Lalapan,10,540,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,15,6,TIDAK LAYAK
Hotel Lorus,Hotel,2192,540,11,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,125,2060,10,LAYAK
Rahayu,Warung Makan,225,215,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,38,200,6,TIDAK LAYAK
Rm. Baringin Jaya Masakan Padang,Masakan Padang,400,15,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,402,9,TIDAK LAYAK
Warung Makan Al-Banjari,Ayam Bakar,196,48,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,18,9,TIDAK LAYAK
Penginapan Mega Buana,Penginapan,1300,120,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,70,1000,7,TIDAK LAYAK
Rm. Menu Rasa,Ikan Bakar,283,360,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,280,8,LAYAK
Rumah Makan Etam,Ikan Bakar,47,810,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,50,2,TIDAK LAYAK
Warung Papadaan,Nasi Kuning,148,900,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,120,3,LAYAK
Puti Bungsu,Ayam,43,540,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,48,15,2,TIDAK LAYAK
St Alawiyah Tahu,Tahu Tempe,51,230,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,118,5,TIDAK LAYAK
Rumah Bambu,Minuman Sarabba,1,160,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,10,5,TIDAK LAYAK
Pemadam Kelaparan,Mie Ayam,24,99,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,16,5,TIDAK LAYAK
Warung Maisah,Kripik Emping,16,28,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,0,3,TIDAK LAYAK
Kios Ibu Siti,Minuman Dingin. Nasi Kuning. Permen,9,17,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,6,407,5,TIDAK LAYAK
Pembuat Kue / Jajan Pasar,Kue Molen. Pastel. Roti Goreng,4,19,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,100,4,TIDAK LAYAK
Lapak Makanan Ringan,Pop Mie. Mie Gelas. Kopi,2,25,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,50,5,TIDAK LAYAK
Aneka Gorengan Dan Jus,Pisang Goreng. Roti Bakar,31,50,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,168,7,TIDAK LAYAK
Selera 78,Nasi Kuning,73,100,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,10,6,TIDAK LAYAK
Kios 33,Roti Donat Dan Roti Panada,41,92,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,10,6,TIDAK LAYAK
Kedai Minum Aneka Sosis,Makanan Sosis Dan Minuman,28,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,172,8,TIDAK LAYAK
Nasi Bakar Seragen,Nasi Bakar. Ayam Bakar. Ayam Penyet,43,420,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,280,8,TIDAK LAYAK
Warung Makan Arni Co,Kuliner,173,648,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,255,8,LAYAK
Bakso Gajah Mungkur,Bakso,168,648,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,320,9,LAYAK
Rm Jawa Sunda,Makanan Jadi,146,360,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,63,135,8,LAYAK
Rm Ibu De,Makanan Jadi,346,540,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,72,335,8,LAYAK
Rm Cita Rasa,Makanan Jadi,258,456,7,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,72,245,8,LAYAK
Rm Nasi Campur,Makanan Jadi,212,360,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,205,8,LAYAK
Bakso Seger,Bakso,215,240,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,205,8,TIDAK LAYAK
Rm. Minang Bahagia,Makanan Jadi,100,480,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,340,8,LAYAK
Bakso Siliwangi,Bakso Dan Minuman Jus,38,360,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,8,8,TIDAK LAYAK
Rm. Sudi Mampir,Makanan Jadi,202,432,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,63,190,8,LAYAK
Rm Impian,Makanan Jadi,218,540,6,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,207,8,LAYAK
Km. Halal,Makanan Jadi,149,360,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,132,8,LAYAK
Rm. Surya Minang,Makanan Jadi,135,420,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,126,8,LAYAK
Bakso Jogja,Bakso,333,420,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,280,8,LAYAK
"Rm "" Uni""",Makanan Nasional,245,288,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,230,6,TIDAK LAYAK
Warung Yuni Hartini,Masakan Nusantara,132,150,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,120,10,TIDAK LAYAK
Warung Zulfadli,Masakan Nusantara,160,120,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,150,8,TIDAK LAYAK
Sarapan Pagi,Makanan Sarapan Pagi,104,145,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,29,94,8,TIDAK LAYAK
Mie Ayam Dan Bakso Moro Eco,Mie Ayam Dan Bakso,78,173,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,36,70,7,TIDAK LAYAK
Bakso Selera Rasa,Bakso,111,173,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,100,7,TIDAK LAYAK
Sehati Inn,Hotel,743,1326,15,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,450,585,9,LAYAK
Kedai Kopi Kongkow,Kopi. Teh. Susu. Snack Dll,119,378,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,237,7,LAYAK
Rm Padang Raya,Masakan Padang,205,367,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,48,1550,8,LAYAK
Soto Kwali Wong Solo,Soto Kwali,131,513,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,230,8,LAYAK
Warung Kopi Ramai,Makanan Dan Minuman,149,346,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,135,8,LAYAK
UD Bread And Food,Pembuatan Roti,40,200,10,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,150,12,TIDAK LAYAK
Sambel Lingkung Dendeng Ampiang,Sambel Lingkung Dan Dendeng Ampiang,70,156,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,75,100,8,TIDAK LAYAK
Adly Cake,Catering,10,130,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,26,100,8,TIDAK LAYAK
CV Tiga Bersaudara,Pembuatan Es Krim,90,107,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,85,150,13,TIDAK LAYAK
Warung Makan Mie Aneka,Aneka Masakan Mie,184,216,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,155,8,TIDAK LAYAK
Warung Ria,Minuman Dan Snack,70,216,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,66,8,TIDAK LAYAK
Rm Cirebon,Makanan,314,684,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,105,245,8,LAYAK
Warung Makan Stc,Makanan,37,319,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,56,7,TIDAK LAYAK
R.M Makan Bakso Arema,Makanan,109,570,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,270,8,LAYAK
Rm Ababil,Makanan Jadi,36,360,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,210,8,TIDAK LAYAK
Rm Mak Adang,Makanan Jadi,52,540,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,268,8,LAYAK
Warung Makan Ayam Penyet,Ayam Penyet Dan Lain-Lain,22,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,129,8,TIDAK LAYAK
Kedai Minum Aneka Sosis,Makanan Sosis Dan Minuman,28,180,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,172,8,TIDAK LAYAK
Bubur Ayam Bandung,Bubur Ayam,468,216,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,108,9,TIDAK LAYAK
Bubur Ayam Bandung,Bubur Ayam,687,216,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,108,10,TIDAK LAYAK
Warung Makanan Suartono,Soto. Bakso. Kremis,727,108,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,525,6,TIDAK LAYAK
Rm Angga Len,Makanan,936,108,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,160,915,10,TIDAK LAYAK
Kue Tori,Kue Tori,85,72,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,19,14,8,TIDAK LAYAK
Coto Mangkasara,Coto,945,8661,8,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,580,9,LAYAK
Bakso Goyang Lidah Palopo,Bakso. Mie Pangsit. Nasi Goreng,428,266,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,14,300,7,TIDAK LAYAK
Es Buah Tiga Dara,Es Buah,12,90,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 90 %,0,7,12,7,TIDAK LAYAK
Warung Bang Darwis,Nasi Goreng Dangkot. Sop Ubi,139,288,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 70 %,0,50,116,9,TIDAK LAYAK
Es Bubble Drink,Es Bubble Coklat. Vanila. Taro,59,180,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,14,10,TIDAK LAYAK
Sop Ubi Bakso,Sop Ubi & Bakso,26,540,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,500,10,TIDAK LAYAK
Rumah Makan Cahaya Minang,Nasi Padang,198,1080,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,270,38,7,LAYAK
Rm Randy,Masakan Padang,1825,360,2,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,72,1815,10,LAYAK
Rumah Makan Minang Indah,Masakan Padang,144,900,3,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,180,4,7,LAYAK
Rumah Makan Putri Desi,Masakan Padang,1950,1440,5,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,350,1610,10,LAYAK
Warung Makan Bu Ras,Makanan Siap Saji,65,216,1,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,100,5,TIDAK LAYAK
Brown Chicken,Ayam Goreng,1660,320,4,Perorangan,Penyediaan Akomodasi Dan Penyediaan Makan Minum,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,54,1500,8,LAYAK
